IKResults
version=1
nRows=3565
nColumns=18
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	TH_x	TH_y	TH_z	TH_x_trans	TH_y_trans	TH_z_trans	SC_y	SC_z	SC_x	AC_y	AC_z	AC_x	GH_y	GH_z	GH_yy	EL_x	PS_y
      7.36000000	      6.09659761	   -169.02790320	      5.18080886	      0.15858270	      1.44665806	      0.05204123	    -34.57609101	      0.32577861	      3.86887394	     47.58954833	      5.49443832	     -1.86950964	    -11.65403652	     23.26129858	     20.74035915	     25.74765638	    120.04442075
      7.37000000	      6.08005324	   -169.05386964	      5.18513998	      0.15875124	      1.44670024	      0.05196343	    -34.62566708	      0.39571830	      3.97317147	     47.68153991	      5.57716285	     -1.80820043	    -11.59560762	     24.10728471	     20.18832218	     25.79691655	    120.05690134
      7.38000000	      6.06498578	   -169.07663367	      5.19098660	      0.15892076	      1.44674955	      0.05186376	    -34.66732602	      0.46722759	      4.07695354	     47.76505305	      5.67385146	     -1.75863077	    -11.49196822	     24.95137880	     19.61023041	     25.83095577	    120.08060834
      7.39000000	      6.04076545	   -169.10446655	      5.20094669	      0.15906862	      1.44680518	      0.05177995	    -34.70768157	      0.53599705	      4.17000367	     47.83570642	      5.77415353	     -1.72573183	    -11.32514045	     25.80159460	     18.96776928	     25.84786706	    120.12083715
      7.40000000	      5.97425096	   -169.11972304	      5.23141341	      0.15936212	      1.44697218	      0.05156061	    -34.65263762	      0.61738895	      4.06097631	     47.11073421	      6.38606713	     -2.69264406	     -7.75182468	     25.93176028	     14.76209288	     25.69284263	    121.56292695
      7.41000000	      5.99934055	   -169.13933741	      5.24105801	      0.15947823	      1.44693520	      0.05149656	    -34.75127278	      0.70315378	      4.21609545	     47.18261559	      6.48866432	     -2.57278173	     -7.76879949	     26.80702115	     14.48863020	     25.68084129	    121.57474522
      7.42000000	      5.97180394	   -169.15969868	      5.24257780	      0.15961512	      1.44699906	      0.05138523	    -34.78962569	      0.78280197	      4.33718308	     47.26633718	      6.61022601	     -2.51449307	     -7.79799554	     27.67100873	     14.13014318	     25.65196137	    121.57759487
      7.43000000	      5.95397839	   -169.18775347	      5.25076142	      0.15973652	      1.44706175	      0.05127276	    -34.81876435	      0.85460440	      4.46364411	     47.34181334	      6.75259506	     -2.46635520	     -7.79224459	     28.51406160	     13.73969047	     25.62048610	    121.57596864
      7.44000000	      5.93143423	   -169.21533337	      5.26109014	      0.15986320	      1.44712043	      0.05115734	    -34.84015888	      0.92566910	      4.58023895	     47.41183153	      6.90183331	     -2.43569212	     -7.74156185	     29.35971904	     13.31071207	     25.56852317	    121.57478118
      7.45000000	      5.90793384	   -169.24653841	      5.27364563	      0.15997922	      1.44717691	      0.05105119	    -34.85865916	      0.99510463	      4.68998617	     47.47190382	      7.06075007	     -2.42134274	     -7.63488100	     30.20071030	     12.84168370	     25.50045017	    121.57514445
      7.46000000	      5.89831654	   -169.29742841	      5.35441896	      0.16022010	      1.44725394	      0.05083322	    -34.74720493	      1.01927876	      4.59494718	     46.90746741	      7.60798165	     -3.04664001	     -5.43781486	     30.58866665	     10.12623625	     25.34542154	    122.07260569
      7.47000000	      5.85229080	   -169.29605546	      5.31349891	      0.16028751	      1.44733565	      0.05073655	    -34.84766852	      1.15136516	      4.73779343	     47.02223074	      7.79046873	     -3.00173415	     -5.39405693	     31.41347775	      9.91349305	     25.20547924	    122.10124279
      7.48000000	      5.83829584	   -169.31517426	      5.32475145	      0.16037406	      1.44738380	      0.05061729	    -34.88279012	      1.22926094	      4.87154642	     47.08611350	      7.96526779	     -2.96443708	     -5.35849564	     32.23225572	      9.60761830	     25.08897679	    122.10670148
      7.49000000	      5.81238530	   -169.34298807	      5.33509719	      0.16046649	      1.44745000	      0.05049137	    -34.89334138	      1.30214399	      4.99196046	     47.13901253	      8.15612971	     -2.95882074	     -5.28345865	     33.03964364	      9.25674032	     24.96867255	    122.10409350
      7.50000000	      5.79194592	   -169.37330543	      5.34772001	      0.16054529	      1.44751137	      0.05036109	    -34.89749484	      1.37511154	      5.11384203	     47.18061298	      8.36488267	     -2.96792006	     -5.16922670	     33.82084042	      8.88994301	     24.84447469	    122.09421466
      7.51000000	      5.76360892	   -169.40668073	      5.36295618	      0.16062329	      1.44758007	      0.05024124	    -34.89845397	      1.44188314	      5.22024585	     47.20542807	      8.57688236	     -2.99746816	     -4.99306481	     34.60419546	      8.47384780	     24.69721213	    122.07985176
